time,ssp126_tnlt_-15_p10,ssp126_tnlt_-15_p50,ssp126_tnlt_-15_p90,ssp245_tnlt_-15_p10,ssp245_tnlt_-15_p50,ssp245_tnlt_-15_p90,ssp585_tnlt_-15_p10,ssp585_tnlt_-15_p50,ssp585_tnlt_-15_p90,ssp126_tnlt_-15_delta_1971_2000_p10,ssp126_tnlt_-15_delta_1971_2000_p50,ssp126_tnlt_-15_delta_1971_2000_p90,ssp245_tnlt_-15_delta_1971_2000_p10,ssp245_tnlt_-15_delta_1971_2000_p50,ssp245_tnlt_-15_delta_1971_2000_p90,ssp585_tnlt_-15_delta_1971_2000_p10,ssp585_tnlt_-15_delta_1971_2000_p50,ssp585_tnlt_-15_delta_1971_2000_p90
1951-01-01,21,23,25,21,23,25,21,23,25,-0,1,4,-0,1,4,-0,1,4
1961-01-01,21,23,25,21,23,25,21,23,25,-0,2,4,-0,2,4,-0,2,4
1971-01-01,20,21,23,20,21,23,20,21,23,0,0,0,0,0,0,0,0,0
1981-01-01,17,19,21,17,19,21,17,19,21,-5,-2,0,-5,-2,0,-5,-2,0
1991-01-01,13,16,19,12,16,20,12,16,19,-8,-5,-2,-9,-6,-1,-9,-5,-2
2001-01-01,7,13,16,7,14,17,7,13,16,-14,-10,-3,-14,-8,-4,-13,-8,-4
2011-01-01,4,11,15,4,11,15,4,10,13,-17,-11,-6,-17,-11,-6,-17,-12,-7
2021-01-01,3,9,13,3,8,12,3,7,12,-18,-12,-8,-18,-14,-9,-19,-15,-9
2031-01-01,2,8,12,2,7,10,1,4,9,-20,-13,-9,-20,-15,-11,-20,-17,-12
2041-01-01,2,7,11,1,5,9,0,3,6,-20,-15,-11,-20,-17,-11,-21,-19,-16
2051-01-01,1,6,10,1,4,8,0,2,4,-20,-16,-11,-21,-18,-13,-22,-20,-17
2061-01-01,1,6,10,0,3,7,0,1,3,-20,-16,-12,-21,-18,-14,-22,-21,-18
2071-01-01,1,7,11,0,3,6,0,0,1,-21,-15,-10,-21,-19,-15,-22,-21,-19
